epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,25.0249,0.52545,0.52039,0.94705,0.97736,0.81108,0.92933,0.76658,0.70386,0.68766,1.02033,0.000643101,0.000643101,0.000643101
43,25.6326,0.63924,0.65692,1.00592,0.86636,0.95689,0.9316,0.77081,0.65717,0.61473,1.00303,0.000628101,0.000628101,0.000628101
44,26.2284,0.5342,0.52852,0.96654,0.95605,0.85958,0.94328,0.78239,0.61927,0.63055,0.9741,0.000612981,0.000612981,0.000612981
45,26.7842,0.47763,0.4836,0.92863,0.89959,0.88889,0.95208,0.76372,0.61451,0.68562,0.9872,0.000597754,0.000597754,0.000597754
46,27.3637,0.5521,0.51195,0.93348,0.8112,0.92421,0.92821,0.74004,0.63326,0.81454,1.00807,0.000582435,0.000582435,0.000582435
47,27.9303,0.51274,0.55837,0.96851,0.88098,0.84647,0.932,0.76151,0.62472,0.82976,1.00584,0.00056704,0.00056704,0.00056704
48,28.5115,0.49191,0.54483,0.93756,0.86125,0.86667,0.93769,0.76956,0.65867,0.72734,0.99286,0.000551584,0.000551584,0.000551584
49,29.0698,0.52469,0.53316,0.93067,0.89945,0.89401,0.9623,0.79677,0.61283,0.67083,0.97872,0.000536081,0.000536081,0.000536081
50,29.7241,0.53828,0.50215,0.99408,0.90438,0.94599,0.98135,0.84541,0.5553,0.55885,0.9526,0.000520548,0.000520548,0.000520548
51,30.2842,0.53803,0.54669,0.94539,0.90179,0.96667,0.97123,0.85487,0.53502,0.53707,0.94544,0.000505,0.000505,0.000505
52,30.8766,0.59885,0.53413,0.99061,0.96994,0.93333,0.98647,0.84576,0.56002,0.55797,0.94588,0.000489452,0.000489452,0.000489452
53,31.4465,0.48927,0.46217,0.91959,0.95552,0.94183,0.9896,0.84706,0.56981,0.55451,0.95341,0.000473919,0.000473919,0.000473919
54,32.0198,0.56493,0.50815,1.00406,0.91236,1,0.97324,0.84129,0.55229,0.5811,0.93868,0.000458416,0.000458416,0.000458416
55,32.5847,0.50986,0.49196,0.92736,0.93103,0.96667,0.97598,0.86015,0.51551,0.55191,0.91229,0.00044296,0.00044296,0.00044296
56,33.1567,0.53592,0.47895,0.94441,0.93731,0.96035,0.96884,0.8308,0.53506,0.52903,0.93467,0.000427565,0.000427565,0.000427565
57,33.7098,0.52961,0.51693,0.91684,0.88472,0.99371,0.969,0.83748,0.52667,0.51707,0.93539,0.000412246,0.000412246,0.000412246
58,34.2801,0.47519,0.44499,0.94751,0.92915,0.96667,0.98794,0.84739,0.50435,0.46863,0.9218,0.000397019,0.000397019,0.000397019
59,34.893,0.48018,0.48546,0.91456,0.95833,0.96316,0.99313,0.85375,0.52089,0.46269,0.92567,0.000381899,0.000381899,0.000381899
60,35.501,0.50754,0.53268,0.94475,0.94985,0.99554,0.995,0.84317,0.55621,0.46107,0.92982,0.000366899,0.000366899,0.000366899
61,36.0492,0.47975,0.46087,0.94349,0.97839,0.99559,0.995,0.8275,0.5716,0.46801,0.93651,0.000352037,0.000352037,0.000352037
62,36.6726,0.53436,0.48517,0.91169,0.99215,0.96667,0.98107,0.84051,0.57252,0.46699,0.93354,0.000337325,0.000337325,0.000337325
63,37.2323,0.51713,0.48899,0.96891,0.99214,0.96667,0.98107,0.85433,0.55177,0.46617,0.92872,0.000322778,0.000322778,0.000322778
64,37.7925,0.44441,0.45964,0.91876,0.98112,0.96667,0.97523,0.85906,0.51631,0.46453,0.91901,0.000308412,0.000308412,0.000308412
65,38.4043,0.43793,0.43559,0.9392,0.97691,0.96667,0.97172,0.86055,0.50309,0.47167,0.90886,0.000294239,0.000294239,0.000294239
66,38.9807,0.53479,0.52993,0.92067,0.96325,0.96667,0.96699,0.86383,0.48209,0.47378,0.90074,0.000280275,0.000280275,0.000280275
67,39.5266,0.49377,0.45736,0.92601,0.99366,1,0.995,0.86878,0.49198,0.45156,0.90552,0.000266532,0.000266532,0.000266532
